SpecialistId,FirstName,LastName,Specialty,Npi,Taxonomy,CmsSpecialtyCode,PerformanceScore,Tier,Network,ClinicName,City,State,Zip,Lat,Lon
SPEC-0001,Hassan,Foster,Nephrology,1574247296,207RN0300X,39,96,1,Out-of-Network,Foster Nephrology Associates,Miami,FL,33385,25.907847,-80.01317
SPEC-0002,Brian,Torres,Nephrology,1145078907,207RN0300X,39,34,3,Out-of-Network,Torres Nephrology Associates,Miami,FL,34192,26.010729,-80.141756
SPEC-0003,Wendy,Lopez,Nephrology,2720764622,207RN0300X,39,23,4,In-Network,Lopez Nephrology Associates,Miami,FL,33792,25.822795,-80.30087
SPEC-0004,Victor,Reyes,Nephrology,1815687771,207RN0300X,39,37,3,Out-of-Network,Reyes Nephrology Associates,Miami,FL,34574,25.771075,-79.868199
SPEC-0005,Rosa,Ibrahim,Nephrology,2278891330,207RN0300X,39,53,2,In-Network,Ibrahim Nephrology Associates,Miami,FL,33656,25.657602,-79.991191
SPEC-0006,Karen,Lopez,Nephrology,2333252569,207RN0300X,39,85,1,In-Network,Lopez Nephrology Associates,Miami,FL,34405,25.911644,-80.128336
SPEC-0007,Elena,Zimmer,Nephrology,1866479573,207RN0300X,39,91,1,In-Network,Zimmer Nephrology Associates,Miami,FL,34766,25.832112,-80.296018
SPEC-0008,Victor,Walsh,Nephrology,2065217962,207RN0300X,39,64,2,In-Network,Walsh Nephrology Associates,Miami,FL,34210,25.960138,-80.060446
SPEC-0009,Elena,Xu,Nephrology,2027755067,207RN0300X,39,62,2,In-Network,Xu Nephrology Associates,Miami,FL,34525,25.711716,-80.664539
SPEC-0010,Grace,Ellis,Nephrology,1454440284,207RN0300X,39,68,2,In-Network,Ellis Nephrology Associates,Miami,FL,33333,25.618639,-79.985796
SPEC-0011,Carlos,Nguyen,Nephrology,1196831998,207RN0300X,39,22,4,In-Network,Nguyen Nephrology Associates,Miami,FL,34070,25.995357,-80.1152
SPEC-0012,Deepa,Vargas,Nephrology,1301568576,207RN0300X,39,59,2,In-Network,Vargas Nephrology Associates,Miami,FL,33850,25.762223,-80.286201
SPEC-0013,Yusuf,Quinn,Nephrology,1054966688,207RN0300X,39,80,1,In-Network,Quinn Nephrology Associates,Miami,FL,34624,26.155142,-80.299338
SPEC-0014,Deepa,Nguyen,Nephrology,2227273697,207RN0300X,39,44,3,Out-of-Network,Nguyen Nephrology Associates,Miami,FL,33025,25.7704,-80.144852
SPEC-0015,Xavier,Patel,Endocrinology,1753493505,207RE0101X,46,82,1,In-Network,Patel Endocrinology Associates,Miami,FL,33280,25.842132,-79.97421
SPEC-0016,Uma,Kapoor,Endocrinology,1639575822,207RE0101X,46,57,2,Out-of-Network,Kapoor Endocrinology Associates,Miami,FL,34624,26.02188,-79.983649
SPEC-0017,Priya,Zimmer,Endocrinology,2694712151,207RE0101X,46,77,1,In-Network,Zimmer Endocrinology Associates,Miami,FL,33727,25.878011,-80.255016
SPEC-0018,Carlos,Patel,Endocrinology,2001996513,207RE0101X,46,51,2,In-Network,Patel Endocrinology Associates,Miami,FL,33809,25.829036,-80.144986
SPEC-0019,Wendy,Jensen,Endocrinology,1236539627,207RE0101X,46,26,3,In-Network,Jensen Endocrinology Associates,Miami,FL,33884,25.644773,-79.913134
SPEC-0020,Tara,Ortiz,Endocrinology,2293695401,207RE0101X,46,67,2,In-Network,Ortiz Endocrinology Associates,Miami,FL,33876,25.829047,-80.262239
SPEC-0021,David,Ibrahim,Endocrinology,2172166268,207RE0101X,46,20,4,In-Network,Ibrahim Endocrinology Associates,Miami,FL,33473,25.972328,-80.264314
SPEC-0022,Tara,Dunn,Endocrinology,1727276994,207RE0101X,46,63,2,In-Network,Dunn Endocrinology Associates,Miami,FL,34597,25.81444,-80.16284
SPEC-0023,Tara,Brooks,Endocrinology,2006727871,207RE0101X,46,46,3,In-Network,Brooks Endocrinology Associates,Miami,FL,34231,26.026912,-80.338445
SPEC-0024,Carlos,Gupta,Endocrinology,1225523285,207RE0101X,46,58,2,In-Network,Gupta Endocrinology Associates,Miami,FL,33423,25.968047,-79.879513
SPEC-0025,Carlos,Patel,Endocrinology,1146623594,207RE0101X,46,20,4,In-Network,Patel Endocrinology Associates,Miami,FL,33947,25.813283,-80.472404
SPEC-0026,Priya,Dunn,Endocrinology,2377930567,207RE0101X,46,92,1,In-Network,Dunn Endocrinology Associates,Miami,FL,34879,25.849799,-79.989009
SPEC-0027,David,Foster,Endocrinology,2816525549,207RE0101X,46,45,3,In-Network,Foster Endocrinology Associates,Miami,FL,34047,25.866091,-80.171854
SPEC-0028,Xavier,Vargas,Endocrinology,2960319731,207RE0101X,46,92,1,Out-of-Network,Vargas Endocrinology Associates,Miami,FL,33463,25.921983,-80.606141
SPEC-0029,Deepa,Alvarez,Rheumatology,1089510659,207RR0500X,66,87,1,In-Network,Alvarez Rheumatology Associates,Miami,FL,33390,25.655744,-79.93578
SPEC-0030,Omar,Reyes,Rheumatology,2582928547,207RR0500X,66,74,2,In-Network,Reyes Rheumatology Associates,Miami,FL,33051,25.557375,-80.625117
SPEC-0031,Evelyn,Dunn,Rheumatology,2722507896,207RR0500X,66,12,4,In-Network,Dunn Rheumatology Associates,Miami,FL,34731,25.762466,-80.056899
SPEC-0032,Carlos,Singh,Rheumatology,2808186946,207RR0500X,66,75,2,In-Network,Singh Rheumatology Associates,Miami,FL,33366,25.951582,-80.194807
SPEC-0033,Zoe,Walsh,Rheumatology,1311532430,207RR0500X,66,60,2,In-Network,Walsh Rheumatology Associates,Miami,FL,34540,26.027354,-79.980908
SPEC-0034,Victor,Vargas,Rheumatology,1550502672,207RR0500X,66,87,1,In-Network,Vargas Rheumatology Associates,Miami,FL,34688,25.467575,-80.114803
SPEC-0035,Quincy,Kapoor,Rheumatology,2242623264,207RR0500X,66,68,2,In-Network,Kapoor Rheumatology Associates,Miami,FL,34733,25.847117,-80.249267
SPEC-0036,Priya,Castro,Rheumatology,1604208672,207RR0500X,66,80,1,In-Network,Castro Rheumatology Associates,Miami,FL,34953,25.574606,-79.792525
SPEC-0037,David,Zimmer,Rheumatology,2560329106,207RR0500X,66,37,3,Out-of-Network,Zimmer Rheumatology Associates,Miami,FL,33993,25.848313,-80.18344
